date_reg,type,maker,model,colour,fuel,state
2025-01-01,motokar,BYD,Seal,white,electric,Rakan Niaga
2025-01-01,window_van,Cam,Placer-X,yellow,greendiesel,Johor
2025-01-01,jip,Chery,Jaecoo J7,green,petrol,Rakan Niaga
2025-01-01,jip,Chery,Jaecoo J7,silver,petrol,Rakan Niaga
2025-01-01,jip,Chery,Tiggo,grey,petrol,Rakan Niaga
2025-01-01,motokar,Dong Feng,Box E3,purple,electric,Rakan Niaga
2025-01-01,motokar,Dong Feng,Box E3,white,electric,Rakan Niaga
2025-01-01,pick_up,Ford,Ranger,black,greendiesel,Rakan Niaga
2025-01-01,pick_up,Ford,Ranger,white,greendiesel,Johor
2025-01-01,pick_up,Ford,Ranger,black,greendiesel,Rakan Niaga
2025-01-01,pick_up,Ford,Ranger,black,greendiesel,Rakan Niaga
2025-01-01,pick_up,Ford,Ranger,black,greendiesel,Rakan Niaga
2025-01-01,pick_up,Ford,Ranger,white,petrol,Johor
2025-01-01,jip,Great Wall,Haval H6,green,hybrid_petrol,Rakan Niaga
2025-01-01,jip,Great Wall,Haval H6,silver,hybrid_petrol,Rakan Niaga
2025-01-01,jip,Great Wall,Haval H6,silver,hybrid_petrol,Rakan Niaga
2025-01-01,jip,Great Wall,Haval H6,silver,hybrid_petrol,Rakan Niaga
2025-01-01,jip,Great Wall,Haval H6,white,hybrid_petrol,Rakan Niaga
2025-01-01,jip,Great Wall,Haval H6,green,hybrid_petrol,Rakan Niaga
2025-01-01,jip,Great Wall,Haval H6,green,hybrid_petrol,Rakan Niaga
2025-01-01,jip,Great Wall,Haval H6,silver,hybrid_petrol,Rakan Niaga
2025-01-01,motokar,Great Wall,Ora,green,electric,Johor
2025-01-01,motokar,Honda,City,grey,petrol,Johor
2025-01-01,window_van,Honda,N-Box,grey,petrol,Johor
2025-01-01,window_van,Honda,STEPWGN,white,petrol,Johor
2025-01-01,motokar,Honda,WR-V,grey,petrol,Rakan Niaga
2025-01-01,jip,Jeep,Wrangler,grey,petrol,Johor
2025-01-01,jip,Lexus,RX,black,petrol,Johor
2025-01-01,jip,Lexus,RX,white,petrol,Johor
2025-01-01,jip,Lexus,RX,white,petrol,Johor
2025-01-01,jip,Lexus,RX,white,petrol,Rakan Niaga
2025-01-01,jip,Lexus,RX,white,petrol,Johor
2025-01-01,jip,MG,MG HS,black,petrol,Kedah
2025-01-01,motokar,MG,MG4,white,electric,Rakan Niaga
2025-01-01,motokar,MG,MG5,grey,petrol,Rakan Niaga
2025-01-01,motokar,Mercedes Benz,C-Class,black,hybrid_petrol,Rakan Niaga
2025-01-01,motokar,Mercedes Benz,E-Class,white,hybrid_petrol,Rakan Niaga
2025-01-01,pick_up,Mitsubishi,Triton,grey,greendiesel,Rakan Niaga
2025-01-01,pick_up,Mitsubishi,Triton,grey,greendiesel,Rakan Niaga
2025-01-01,motokar_pelbagai_utiliti,Mitsubishi,Xpander,black,petrol,Rakan Niaga
2025-01-01,motokar_pelbagai_utiliti,Mitsubishi,Xpander,white,petrol,Rakan Niaga
2025-01-01,motokar_pelbagai_utiliti,Mitsubishi,Xpander,grey,petrol,Rakan Niaga
2025-01-01,motokar_pelbagai_utiliti,Mitsubishi,Xpander,white,petrol,Rakan Niaga
2025-01-01,motokar_pelbagai_utiliti,Mitsubishi,Xpander,grey,petrol,Rakan Niaga
2025-01-01,motokar_pelbagai_utiliti,Mitsubishi,Xpander,black,petrol,Rakan Niaga
2025-01-01,motokar,Nissan,Almera,black,petrol,Rakan Niaga
2025-01-01,pick_up,Nissan,Navara,grey,greendiesel,Johor
2025-01-01,window_van,Nissan,Serena,grey,petrol,Rakan Niaga
2025-01-01,motokar_pelbagai_utiliti,Perodua,Alza,brown,petrol,Rakan Niaga
2025-01-01,motokar_pelbagai_utiliti,Perodua,Alza,red,petrol,Kelantan
2025-01-01,motokar_pelbagai_utiliti,Perodua,Alza,brown,petrol,Rakan Niaga
2025-01-01,motokar,Perodua,Axia,grey,petrol,Rakan Niaga
2025-01-01,motokar,Perodua,Bezza,silver,petrol,Rakan Niaga
2025-01-01,motokar,Perodua,Bezza,grey,petrol,Rakan Niaga
2025-01-01,motokar,Perodua,Bezza,silver,petrol,Johor
2025-01-01,motokar,Perodua,Myvi,white,petrol,Rakan Niaga
2025-01-01,motokar,Perodua,Myvi,grey,petrol,Rakan Niaga
2025-01-01,motokar,Porsche,911 Carrera,grey,petrol,Johor
2025-01-01,jip,Porsche,Macan,white,petrol,Johor
2025-01-01,motokar,Proton,Iriz,silver,petrol,Terengganu
2025-01-01,motokar,Proton,Persona,grey,petrol,Rakan Niaga
2025-01-01,motokar,Proton,Saga,grey,petrol,Rakan Niaga
2025-01-01,jip,Rolls Royce,Cullinan,white,petrol,Johor
2025-01-01,window_van,Toyota,Alphard,black,petrol,Johor
2025-01-01,window_van,Toyota,Alphard,white,petrol,Kedah
2025-01-01,window_van,Toyota,Alphard,white,petrol,Johor
2025-01-01,window_van,Toyota,Alphard,black,petrol,Johor
2025-01-01,window_van,Toyota,Alphard,white,petrol,Johor
2025-01-01,window_van,Toyota,Alphard,white,petrol,Rakan Niaga
2025-01-01,window_van,Toyota,Alphard,white,petrol,Johor
2025-01-01,window_van,Toyota,Alphard,black,petrol,Johor
2025-01-01,window_van,Toyota,Alphard,white,petrol,Kedah
2025-01-01,window_van,Toyota,Alphard,white,petrol,Johor
2025-01-01,window_van,Toyota,Alphard,black,petrol,Johor
2025-01-01,motokar,Toyota,Corolla Altis,white,petrol,Rakan Niaga
2025-01-01,jip,Toyota,Corolla Cross,white,petrol,Rakan Niaga
2025-01-01,jip,Toyota,Harrier,black,petrol,Kelantan
2025-01-01,jip,Toyota,Harrier,black,petrol,Johor
2025-01-01,jip,Toyota,Harrier,white,petrol,Kedah
2025-01-01,jip,Toyota,Harrier,black,petrol,Rakan Niaga
2025-01-01,pick_up,Toyota,Hilux,black,greendiesel,Johor
2025-01-01,pick_up,Toyota,Hilux,silver,greendiesel,Kedah
2025-01-01,pick_up,Toyota,Hilux,black,greendiesel,Kedah
2025-01-01,pick_up,Toyota,Hilux,brown,greendiesel,Kedah
2025-01-01,pick_up,Toyota,Hilux,silver,greendiesel,Johor
2025-01-01,pick_up,Toyota,Hilux,silver,greendiesel,Johor
2025-01-01,jip,Toyota,Land Cruiser,black,petrol,Johor
2025-01-01,jip,Toyota,Land Cruiser Prado,white,diesel,Johor
2025-01-01,window_van,Toyota,Vellfire,white,petrol,Johor
2025-01-01,motokar,Toyota,Vios,white,petrol,Rakan Niaga
2025-01-02,motokar,BMW,2 Series,blue,petrol,Rakan Niaga
2025-01-02,motokar,BMW,3 Series,grey,petrol,Rakan Niaga
2025-01-02,motokar,BMW,3 Series,grey,petrol,Kedah
2025-01-02,motokar,BMW,3 Series,blue,petrol,Johor
2025-01-02,motokar,BMW,7 Series,grey,hybrid_petrol,W.P. Kuala Lumpur
2025-01-02,motokar,BMW,7 Series,black,hybrid_petrol,W.P. Kuala Lumpur
2025-01-02,jip,BMW,X7,grey,petrol,Melaka
2025-01-02,jip,BMW,X7,black,petrol,W.P. Kuala Lumpur
2025-01-02,motokar,BMW,i5,black,electric,Rakan Niaga
2025-01-02,motokar,BMW,i5,black,electric,Rakan Niaga
2025-01-02,motokar,BMW,i5,black,electric,Rakan Niaga
2025-01-02,jip,BMW,iX,grey,electric,W.P. Kuala Lumpur
